city,state,business_count
Pittsgrove Township,NJ,1
Plainfiled,IN,1
Pleasant Township,IN,1
Plymouth Township,PA,1
Port Hueneme,CA,1
Primos-Secane,PA,1
Quinton,NJ,1
RADNOR,PA,1
RENO,NV,1
RENO AP,NV,1
Rancocas,NJ,1
Real Goleta,CA,1
Redingtn Shores,FL,1
Redington Shore,FL,1
Reno City,NV,1
Reno Nevada,NV,1
Reno Sparks,NV,1
Ridley Township,PA,1
River View,FL,1
Riveridge,LA,1
Riverview Fl,FL,1
Roseville,MI,1
Rosewood Heights,IL,1
Roxana,IL,1
Royford,PA,1
Rural Hill,TN,1
Rushland,PA,1
Rutledge,PA,1
S Pasadena,FL,1
S.Pasadena,FL,1
SAINT LOUIS AP,MO,1
SAINT PETERSBURG,FL,1
SANTA BARBARA,CA,1
SANTA BARBARA AP,CA,1
SEMINOLE,FL,1
SPARKS,NV,1
SPRINGHILL,FL,1
ST LOUIS,MO,1
ST. Louis,MO,1
ST. PETE BEACH,FL,1
Safety  Harbor,FL,1
"Safety Harbor,",FL,1
Safety Hatbor,FL,1
"Saint Petersburg,",FL,1
Saint louis,MO,1
Saintt Petersburg,FL,1
Saint Louis,MO,1
Salinas,CA,1
San Anselmo,ID,1
Santa  Barbara,CA,1
Santa Barbara & Ventura Counties,CA,1
"Santa Barbara,",CA,1
Santa Clara,CA,1
Santa Maria,CA,1
Santa Rita,AZ,1
Santa Ynez,CA,1
Sarasota,FL,1
Scott Afb,IL,1
Shade,NJ,1
Sherwood,AB,1
Slidell,LA,1
Smyrna,DE,1
Solebury,PA,1
South Burlington,NJ,1
South Cherry Hill,NJ,1
South Cinnaminson,NJ,1
South Harrison Township,NJ,1
South Lake Tahoe,CA,1
South Madison,TN,1
South Reno,NV,1
South Roxana,IL,1
Southhampton,PA,1
Southwest Tampa,FL,1
Spark,NV,1
Sparks,CA,1
Sparks NV,NV,1
"Sparks,",NV,1
Spokane,WA,1
Spring HIll,FL,1
Spring Hill,CA,1
Spring Hill,TN,1
Springfield,NJ,1
Springhill,FL,1
Spruce Grove,AB,1
St Boise,ID,1
St Louis,IL,1
St Pete beach,FL,1
St Petersberg,FL,1
St Petersurg,FL,1
St louis,MO,1
St.  Charles,MO,1
St. Leo,FL,1
St. Louis,IL,1
St. Louis County,MO,1
St. Pete,FL,1
St. Petersberg,FL,1
St.Ann,MO,1
St.Charles,MO,1
St.Pete Beach,FL,1
St.Rose,LA,1
St.louis,MO,1
Staint Albert,AB,1
Stanton,DE,1
Star,ID,1
Ste C,FL,1
Stone Harbor,NJ,1
Stroudsburg,PA,1
Sturgeon Couny,AB,1
Sullivan,MO,1
Summerhaven,AZ,1
Swedeland,PA,1
TAMPA AP,FL,1
TARPON SPRINGS,FL,1
TEMPLE TERR,FL,1
TRENTON,NJ,1
TRINITY,FL,1
TUCSON AP,AZ,1
TWN N CNTRY,FL,1
Tampa,CA,1
Tampa,SD,1
Tampa - North,FL,1
Tampa - South,FL,1
Tampa Terrace,FL,1
"Tampa,",FL,1
"Tampa,Fl",FL,1
Tampla,FL,1
Tarpon springs,FL,1
Temple Terr,FL,1
Tennesse,TN,1
Thonosassa,FL,1
Tierre Verde,FL,1
Tinicum,PA,1
Tortola,VI,1
Town & County,MO,1
Town 'N' Country,FL,1
Town n Country,FL,1
Tren,NJ,1
Trolley Square,DE,1
Tucson,HI,1
Tuson,AZ,1
Twin oaks,MO,1
Twn N Cntry,FL,1
Tylersport,PA,1
UPPER MORELAND,PA,1
UPPR BLCK EDY,PA,1
University Park,FL,1
Upper Darby PA,PA,1
Upper Gwynedd,PA,1
Upper Merion Township,PA,1
Upper Pottsgrove,PA,1
Upper Southampton Township,PA,1
VC Highlands,NV,1
Vail,CO,1
Valencia,CA,1
Valencia West,AZ,1
Ventura,CA,1
View,TN,1
Vineland,NJ,1
Virtual,PA,1
W Cherry Hill,NJ,1
W. Berlin,NJ,1
W.Chester,PA,1
WEST CHESTER,PA,1
WILLOW GROVE,PA,1
Wales,PA,1
Wanamaker,IN,1
Warwick,PA,1
Washington,NJ,1
Washington,PA,1
Washington Twp,NJ,1
Washoe,NV,1
Wayne/Radnor,PA,1
Webster Grvs,MO,1
Wesley Ccapel,FL,1
Wesley Chapel  FL,FL,1
West  Deptford,NJ,1
West Alton,MO,1
West Bradford Township,PA,1
West Chester PA,PA,1
West Collingswood Heights,NJ,1
West Deptford Townsh,NJ,1
West Hill,CA,1
West Mount Holly,NJ,1
West Nashville,TN,1
West Philadelphia,PA,1
West Rockhill,PA,1
Westampton Township,NJ,1
Westfield,IN,1
Westhampton,NJ,1
Westmont - Haddon Towsship,NJ,1
Whitehouse,TN,1
Wilimington,DE,1
Williamsport,PA,1
Wilmington,PA,1
Winterthur,DE,1
Woodbourne,PA,1
Woodbury Hts.,NJ,1
Woodson Terrace,MO,1
Woolwich Twp,NJ,1
Woolwich Twp.,NJ,1
Wycombe,PA,1
Wyndlake Condominium,FL,1
YARDLEY,PA,1
Yardley Boro,PA,1
Zephryhills,FL,1
Zionsville In,IN,1
abington,PA,1
chicago,FL,1
clifton heights,PA,1
elmwood,LA,1
erdenheim,PA,1
franklin,TN,1
frazer,PA,1
gilbertsville,PA,1
goodlettsville,TN,1
horsham,PA,1
indianopolis,IN,1
kenner,LA,1
kop,PA,1
land o lakes,FL,1
langhorne,PA,1
largo,FL,1
lawrence,IN,1
maple shade nj,NJ,1
meridian,ID,1
metairie,LA,1
nashville,TN,1
nolensville,TN,1
pennsauken,NJ,1
phoenixville,PA,1
quakertown,PA,1
riverview,FL,1
saint ann,MO,1
saint petersburg,FL,1
santa Barbara,CA,1
sewell,NJ,1
sparks,NV,1
spring city,PA,1
spring hill,FL,1
telford,PA,1
wesley chapel,FL,1
wilmington,DE,1
wimauma,FL,1
​Clayton,MO,1
​Largo,FL,1
​Lithia,FL,1
